ligand,Filename,Category,Ligand_Location_Word,Ligand_Location_Sentence,Ligand_Location_Chunck
"3'-[(E)-{[(1S,2S)-2-aminocyclohexyl]imino}-methyl]-4'-hydroxy-4-biphenylcarboxlic acid",10.1002_chem.201104001_0.pdf,chiralty,"Title, Abstract, Introduction, Conclusion","Title, Introduction, Conclusion, Body","Title, Introduction, Conclusion"
"3-[(E)-{[(1R,2R)-2-aminocyclohexyl]imino}methyl]-4-hydroxybenzoic acid",10.1002_chem.200900037_0.pdf,chiralty,"Abstract, Body","Abstract, Body",Body
2-aminoterephthalic acid,10.1039_d2qi01198k_2.pdf,optimization,"Introduction, Body","Title, Introduction, Body","Introduction, Body"
2-nitroterephthalic acid,10.1039_d2qi01198k_2.pdf,optimization,Body,Body,"Introduction, Body"
"1,2,4-benzenetricarboxylic acid",10.1039_d2qi01198k_2.pdf,optimization,Body,Not Found,Body
2-bromoterephthalic acid,10.1039_d2qi01198k_2.pdf,optimization,Body,"Title, Body","Introduction, Body"
"2,5-dihydroxyterephthalic acid",10.1039_d2qi01198k_2.pdf,optimization,Body,"Title, Body","Introduction, Body"
"(R,R)-(-)-N,N'-bis(3-tert-butyl-5-(4-pyridyl) salicylidene)-1,2-diamino-cyclohexane)",10.1021_ja078317n_0.pdf,chiralty,Body,"Title, Body",Body
(S)-(N-pyridin-2-ylmethyl)lactamide,10.1039_b316393h_0.pdf,chiralty,"Abstract, Introduction, Body","Title, Body","Abstract, Body"
(S)-N-(2-dimethylaminoethyl)lactamide,10.1039_b316393h_0.pdf,chiralty,"Abstract, Body","Title, Abstract, Body","Abstract, Body"
(S)-N-(3-dimethylaminopropyl)lactamide,10.1039_b316393h_0.pdf,chiralty,"Abstract, Introduction, Body","Title, Abstract, Body","Abstract, Body"
(R)-4-(4-(1-carboxyethoxy)phenoxy)-3-fluorobenzoic acid,10.1021_cg500197v_0.pdf,chiralty,"Title, Abstract, Introduction, Body","Title, Body","Title, Abstract, Introduction, Body"
(R)-4-(4-(1-carboxyethoxy)phenoxy)-3-chlorobenzoic acid,10.1021_acs.cgd.6b00593_0.pdf,chiralty,"Title, Introduction, Conclusion, Body","Title, Conclusion, Body","Title, Introduction, Conclusion, Body"
(R)-2-(4'-(4''-carboxybenzyloxy)phenoxy)propanoic acid,10.1039_c2dt30863k_1.pdf,chiralty,"Title, Abstract, Introduction, Conclusion, Body","Title, Conclusion, Body","Title, Abstract, Introduction, Conclusion, Body"
"(R,R)-2,2'-((5-(methoxycarbonyl)-1,3-phenylene)bis(oxy))-dipropanoic acid",10.1021_acs.cgd.6b01763_0.pdf,chiralty,"Title, Introduction, Conclusion, Body","Title, Conclusion, Body","Title, Introduction, Conclusion, Body"
(S)-5-(1-carboxyethoxymethyl)-isophthalic acid,10.1039_c7ra08433a_1.pdf,chiralty,"Abstract, Introduction, Conclusion, Body","Abstract, Conclusion, Body","Abstract, Introduction, Conclusion, Body"
"(S)-4'-(1-carboxyethoxy)-[1,1'-biphenyl]-4-carboxylic acid",10.1039_c7ra00337d_0.pdf,chiralty,"Abstract, Introduction, Body","Abstract, Body","Abstract, Introduction, Body"
(S)-6-(1-carboxyethoxy)-2-naphthoic acid,10.1039_c7ra00337d_0.pdf,chiralty,"Abstract, Introduction, Body",Body,"Abstract, Introduction, Body"
"4'-(1-carboxyethoxy)-[1,1'-biphenyl]-3,5-dicarboxylic acid",10.1039_c9nj05766h_1.pdf,chiralty,"Abstract, Introduction, Body","Abstract, Conclusion, Body","Abstract, Introduction, Body"
"N,N'-bis(4-cyanophenyl)-(1R,2R)-diaminocyclohexane",10.1021_cg049781w_0.pdf,chiralty,"Abstract, Introduction","Abstract, Body","Abstract, Introduction"
"N,N'-bis(4-cyanophenyl)-(1R,2R)-diaminocyclohexane",10.1039_b316931f_0.pdf,chiralty,Body,Body,Body
